segment_number,instrument_emotion,vocal_emotion
0,triumphant,-
1,triumphant,sad
2,triumphant,sad
3,triumphant,sad
4,triumphant,-
5,triumphant,sad
6,triumphant,sad
7,triumphant,-
8,triumphant,-
9,triumphant,-
10,triumphant,-
11,triumphant,-
12,triumphant,-
13,triumphant,-
14,triumphant,-
15,triumphant,-
16,triumphant,sad
17,triumphant,sad
18,triumphant,-
19,triumphant,-
20,triumphant,sad
21,triumphant,-
22,triumphant,-
23,triumphant,-
24,triumphant,-
25,triumphant,-
26,triumphant,sad
27,triumphant,sad
28,triumphant,sad
